Iteration,Agent_ID,Average_Reward
1,0,-0.9981249999999999
1,1,-0.9981249999999999
1,2,-0.9981249999999999
1,3,-0.9981249999999999
1,4,-0.9981249999999999
2,0,-0.9986458333333332
2,1,-0.9986458333333332
2,2,-0.9986458333333332
2,3,-0.9986458333333332
2,4,-0.9986458333333332
3,0,-0.9996875
3,1,-0.9996875
3,2,-0.9996875
3,3,-0.9996875
3,4,-0.9996875
4,0,-0.9997916666666667
4,1,-0.9997916666666667
4,2,-0.9997916666666667
4,3,-0.9997916666666667
4,4,-0.9997916666666667
5,0,-0.9996875
5,1,-0.9996875
5,2,-0.9996875
5,3,-0.9996875
5,4,-0.9996875
6,0,-1.0
6,1,-1.0
6,2,-1.0
6,3,-1.0
6,4,-1.0
7,0,-1.0
7,1,-1.0
7,2,-1.0
7,3,-1.0
7,4,-1.0
8,0,-0.9996875
8,1,-0.9996875
8,2,-0.9996875
8,3,-0.9996875
8,4,-0.9996875
9,0,-1.0
9,1,-1.0
9,2,-1.0
9,3,-1.0
9,4,-1.0
10,0,-0.9995833333333334
10,1,-0.9995833333333334
10,2,-0.9995833333333334
10,3,-0.9995833333333334
10,4,-0.9995833333333334
11,0,-0.9991666666666666
11,1,-0.9991666666666666
11,2,-0.9991666666666666
11,3,-0.9991666666666666
11,4,-0.9991666666666666
12,0,-0.9995833333333333
12,1,-0.9995833333333333
12,2,-0.9995833333333333
12,3,-0.9995833333333333
12,4,-0.9995833333333333
13,0,-0.9998958333333333
13,1,-0.9998958333333333
13,2,-0.9998958333333333
13,3,-0.9998958333333333
13,4,-0.9998958333333333
14,0,-1.0
14,1,-1.0
14,2,-1.0
14,3,-1.0
14,4,-1.0
15,0,-0.9998958333333333
15,1,-0.9998958333333333
15,2,-0.9998958333333333
15,3,-0.9998958333333333
15,4,-0.9998958333333333
16,0,-0.9992708333333334
16,1,-0.9992708333333334
16,2,-0.9992708333333334
16,3,-0.9992708333333334
16,4,-0.9992708333333334
17,0,-0.9998958333333333
17,1,-0.9998958333333333
17,2,-0.9998958333333333
17,3,-0.9998958333333333
17,4,-0.9998958333333333
18,0,-0.9994791666666667
18,1,-0.9994791666666667
18,2,-0.9994791666666667
18,3,-0.9994791666666667
18,4,-0.9994791666666667
19,0,-0.9997916666666667
19,1,-0.9997916666666667
19,2,-0.9997916666666667
19,3,-0.9997916666666667
19,4,-0.9997916666666667
20,0,-0.9992708333333334
20,1,-0.9992708333333334
