Iteration,Custom Metrics
16,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
17,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
18,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
19,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
20,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
21,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
22,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
23,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
24,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
25,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
26,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
27,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
28,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
29,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
30,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
31,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
32,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
33,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
34,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
35,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
36,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
37,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
38,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
39,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
40,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
41,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
42,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
43,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
44,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
45,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
46,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
47,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
48,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
49,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
50,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
51,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
