Iteration,Custom Metrics
1,"{'agent-0': {'num_collected': 3, 'time_waited': 1597, 'num_cleaned': 0}, 'agent-1': {'num_collected': 101, 'time_waited': 1499, 'num_cleaned': 0}, 'agent-2': {'num_collected': 22, 'time_waited': 1578, 'num_cleaned': 0}, 'agent-3': {'num_collected': 1, 'time_waited': 1599, 'num_cleaned': 0}, 'agent-4': {'num_collected': 1, 'time_waited': 1599, 'num_cleaned': 0}}"
2,"{'agent-0': {'num_collected': 28, 'time_waited': 1572, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}}"
