Iteration,Average_Reward
1,-0.21382986111111082
2,-0.21804563492063544
3,-0.0853075396825411
4,-0.23776785714285795
5,-0.025466269841269838
6,-0.03158730158730187
7,-0.022410714285714697
8,-0.02309523809523851
9,-0.06238095238095293
10,-0.0633382936507942
11,0.025029761904761496
12,-0.10630952380952421
13,-0.04342757936507978
14,-0.18139880952380966
15,-0.08004960317460344
16,-0.09259920634920635
17,-0.13307539682539696
18,-0.16365575396825438
19,-0.03781746031746046
20,-0.18171626984126998
21,-0.13348710317460333
22,-0.09395833333333334
23,-0.16565972222222225
24,-0.18137896825396838
25,-0.14052579365079368
26,-0.1340873015873017
27,-0.10925595238095268
28,-0.14184027777777777
29,-0.12876488095238112
30,-0.13302083333333348
31,-0.0354265873015874
32,0.024196428571428168
33,-0.12632440476190504
34,-0.14200396825396827
35,-0.2445684523809533
36,-0.22918650793650808
37,-0.2844642857142857
38,-0.2375595238095238
39,-0.12661210317460345
40,-0.1900297619047619
41,-0.2759920634920636
42,-0.14217261904761905
43,-0.1425595238095238
44,-0.14238095238095236
45,-0.18216269841269855
46,-0.14125496031746032
47,-0.13408730158730173
48,-0.14238095238095239
49,-0.1340426587301589
50,-0.14233630952380952
51,-0.13447420634920648
52,-0.11883928571428613
53,-0.14222718253968253
54,-0.1425
55,-0.18967261904761903
56,-0.12666170634920662
57,-0.13361111111111126
58,-0.1424107142857143
59,-0.17825892857142872
60,-0.16616071428571466
61,-0.11806547619047657
62,-0.11839781746031786
63,-0.11033730158730212
64,-0.11005952380952387
65,-0.14812996031746067
66,-0.09702380952380994
67,-0.09421626984127067
68,-0.15401785714285698
69,-0.11016369047619103
70,-0.11052083333333391
71,-0.1173809523809528
72,-0.11860119047619089
73,-0.11820436507936549
74,-0.11815476190476229
75,-0.11818452380952424
76,-0.10950892857142913
77,-0.05476190476190547
78,-0.02277281746031785
79,-0.07066964285714326
80,-0.07044642857142897
81,-0.055034722222222894
82,-0.062366071428571986
83,-0.022812500000000405
84,-0.023154761904762306
85,-0.06907738095238138
86,-0.031135912698413787
87,-0.014201388888889388
88,0.024523809523809132
89,-0.022589285714286082
90,0.024285714285713873
91,0.024583333333332947
92,0.024315476190475777
93,0.024553571428571015
94,0.024047619047618634
95,0.023988095238094826
96,0.02502976190476151
97,0.026369047619047382
98,0.0244642857142853
99,0.02467261904761863
100,-0.020625000000000067
101,0.02244047619047578
102,0.023928571428571018
103,0.02505952380952344
104,0.02577380952380919
105,0.02589285714285691
106,0.025803571428571183
107,0.024821428571428165
108,-0.021755952380952636
109,0.0243749999999996
110,-0.02375000000000041
111,-0.06281250000000056
112,-0.02165674603174633
113,-0.11842261904761946
114,-0.023005952380952797
115,-0.07095238095238136
116,-0.07008928571428615
117,0.0270734126984117
118,-0.10904265873015916
119,-0.022529761904762313
120,-0.07000000000000037
121,-0.02279761904761946
122,0.02529761904761869
123,0.024077380952380538
124,0.016339285714285307
125,-0.022648809523809866
126,-0.06265873015873066
127,-0.014677579365079905
128,-0.07074404761904803
129,-0.0703422619047623
130,-0.022797619047619438
131,-0.07014880952380992
132,-0.11048611111111166
133,-0.10185515873015939
134,-0.10979662698412752
135,-0.15697420634920684
136,-0.06976190476190518
137,-0.06111607142857195
138,0.0007738095238086937
139,-0.04610615079365162
140,0.048363095238094414
141,-0.16459325396825436
142,0.02437499999999959
143,-0.05469246031746099
144,-0.06952380952380995
145,-0.0706250000000004
146,-0.06976190476190511
147,-0.16525297619047655
148,-0.05491567460317529
149,-0.03070436507936618
150,-0.01437500000000097
151,-0.11040178571428705
152,0.048363095238093644
153,-0.005669642857144318
154,0.07238095238095121
155,-0.022291666666667872
156,-0.022147817460318627
157,-0.022559523809525018
158,-0.007371031746033259
159,-0.09385416666666827
160,-0.054330357142858644
161,0.02435019841269721
162,-0.09452380952381119
163,-0.05444940476190626
164,-0.1016567460317475
165,-0.06246527777777912
166,0.0004464285714269204
167,-0.06256448412698545
168,-0.14986111111111258
169,-0.07016369047619167
170,-0.04747023809523935
171,-0.058665674603175906
172,-0.15700892857142992
173,-0.007673611111112612
174,-0.062475198412699724
175,-0.05883432539682676
176,-0.023214285714286916
177,-0.16663690476190599
178,-0.02303571428571546
179,-0.05515873015873165
180,-0.06250992063492196
181,-0.014975198412699718
182,-0.11860119047619169
183,-0.02339781746031867
184,-0.15774801587301715
185,-0.0632192460317474
186,-0.07059523809523925
187,-0.11866567460317586
188,-0.10983630952381072
189,-0.0629563492063506
190,-0.07087797619047743
191,-0.11140873015873153
192,-0.11875000000000122
193,-0.1585218253968263
194,-0.10273313492063639
195,-0.0543402777777792
196,-0.06335317460317598
197,-0.06270337301587436
198,-0.0229315476190488
199,-0.06309027777777913
200,-0.023095238095239275
201,-0.046746031746033374
202,0.04806547619047458
203,0.000902777777776206
204,-0.11845238095238221
205,-0.16610119047619168
206,-0.08632440476190643
207,-0.020312500000001368
208,-0.06298611111111248
209,-0.023244047619048837
210,-0.034136904761905944
211,-0.07061011904762024
212,-0.15864087301587437
213,-0.07110119047619169
214,-0.06281746031746167
215,-0.07095238095238214
216,-0.11809523809523925
217,-0.11883928571428694
218,-0.11054067460317596
219,-0.022946428571429762
220,-0.1179166666666678
221,-0.007822420634922151
222,-0.11066468253968344
223,-0.11018849206349338
224,-0.11840277777777904
