Iteration,Agent_ID,Average_Reward
1,0,0.09580357142856981
1,1,-0.8299950396825491
1,2,0.0003958333333333333
1,3,-0.8735416666666667
1,4,-0.01895833333333417
1,5,0.0
1,6,-0.5616666666666666
1,7,0.04772222222222169
1,8,-0.16583333333333333
2,0,0.041666666666666664
2,1,0.12549479166666666
2,2,-0.32166666666666666
2,3,-0.9914583333333334
2,4,0.08265625
2,5,-0.6210677083333334
2,6,-0.625078125
2,7,0.04359375000000001
2,8,0.041718750000000006
3,0,-0.23330729166666667
3,1,0.041666666666666664
3,2,0.0029947916666666664
3,3,-0.9927083333333333
3,4,0.12520833333333334
3,5,-0.3333333333333333
3,6,-0.8658072916666667
3,7,0.007500000000000001
3,8,0.00020833333333333335
4,0,0.0
4,1,0.04348958333333333
4,2,0.001875
4,3,-0.9933333333333333
4,4,0.12520833333333334
4,5,-0.333125
4,6,-0.6664583333333334
4,7,0.00020833333333333335
4,8,0.04216145833333334
5,0,0.04161458333333334
5,1,0.0018750000000000001
5,2,-0.3322916666666667
5,3,-0.6666666666666666
5,4,0.12541666666666665
5,5,-0.338125
5,6,-0.5829947916666667
5,7,0.00125
5,8,0.0017447916666666664
6,0,0.08622395833333334
6,1,0.001796875
6,2,-0.6660416666666666
6,3,-0.66625
6,4,0.2091666666666667
6,5,-0.6642708333333333
6,6,-0.6666666666666666
6,7,0.043359375
6,8,0.001171875
7,0,0.046302083333333334
7,1,0.042864583333333324
7,2,0.043541666666666666
7,3,-0.9916666666666667
7,4,0.125
7,5,-0.2925260416666667
7,6,-0.3333333333333333
7,7,0.08520833333333333
7,8,0.0004166666666666667
8,0,0.1265625
8,1,0.0030468750000000005
8,2,-0.6660416666666666
8,3,-0.9995833333333334
8,4,0.125
8,5,0.0
8,6,-0.9997916666666667
8,7,0.0030468749999999997
8,8,0.0009635416666666667
9,0,0.145859375
9,1,0.041874999999999996
9,2,-0.0002083333333333333
9,3,-0.66625
9,4,0.12520833333333334
9,5,0.0
9,6,-1.0
9,7,0.0022916666666666667
9,8,0.0031770833333333334
10,0,0.16749999999999998
10,1,0.04416666666666666
10,2,-0.6215364583333334
10,3,-0.3333333333333333
10,4,0.125
10,5,0.0
10,6,-1.0
10,7,0.00125
10,8,0.0010416666666666667
11,0,0.12625
11,1,0.0025
11,2,-0.98875
11,3,-0.617109375
11,4,0.125
11,5,0.00020833333333333335
11,6,-0.29203125
11,7,0.0009635416666666667
11,8,0.0025
12,0,0.12057870370370455
12,1,0.0
12,2,-0.665
12,3,-0.9995572916666666
12,4,0.12224537037037125
12,5,0.00020833333333333335
12,6,-0.6664322916666666
12,7,0.0008333333333333334
12,8,0.0030468749999999997
13,0,0.11277777777778035
13,1,0.003541666666666667
13,2,-0.66625
13,3,-0.9839583333333334
13,4,0.11111111111111364
13,5,0.0
13,6,0.0
13,7,0.0017361111111111112
13,8,0.0016666666666666663
14,0,0.11111111111111364
14,1,0.00125
14,2,-0.6659722222222223
14,3,-0.9935416666666667
14,4,0.11111111111111364
14,5,0.00020833333333333335
14,6,-0.3333333333333333
14,7,0.0027083333333333334
14,8,0.0016666666666666663
15,0,0.00125
15,1,0.11155092592592845
15,2,-0.0004166666666666665
