Iteration,Average_Reward
1,-0.4143387896825407
2,-0.47372023809523717
3,-0.3908878968253972
4,-0.4121478174603177
5,-0.2619642857142848
6,-0.20030753968253948
7,-0.17696924603174644
8,-0.15068948412698482
9,-0.06197420634920675
10,-0.315873015873016
11,-0.32364087301587313
12,-0.2373809523809524
13,-0.33260204081632655
14,-0.2716496598639458
15,-0.3515433673469412
16,-0.19005527210884354
17,-0.33202380952380955
18,-0.23182397959183687
19,-0.23785714285714285
20,-0.336547619047619
21,-0.2375
22,-0.18276785714285726
23,-0.08076955782312951
24,-0.2313307823129253
25,-0.27186224489795946
26,-0.21693027210884389
27,-0.24490221088435446
28,-0.21756802721088472
29,-0.2766581632653062
30,-0.3689710884353744
31,-0.23092261904761915
32,-0.13598639455782324
33,-0.08798894557823143
34,-0.09369047619047619
35,-0.22961734693877575
36,-0.23081632653061232
37,-0.2633460884353745
38,-0.14976190476190548
39,-0.14093537414966142
40,-0.1164625850340139
41,-0.09497023809523727
42,-0.10803996598639411
43,-0.2641751700680295
44,-0.21640731292517174
45,-0.21732993197279077
46,-0.21714285714285947
47,-0.15774234693877803
48,-0.0699064625850365
49,-0.20786139455782426
50,0.007414965986392919
51,-0.15519557823129376
52,-0.37285289115646264
53,-0.08755102040816339
54,-0.2874532312925209
55,-0.14161989795918517
56,-0.076853741496599
57,-0.16971088435374185
58,-0.1624957482993202
59,-0.2081675170068032
60,-0.1899617346938791
61,-0.18190476190476482
62,-0.10153486394557962
63,-0.271041666666667
64,-0.10890731292517139
65,-0.09373299319727892
66,-0.1354974489795928
67,-0.10123724489795993
68,-0.05641581632653136
69,-0.053886054421769435
70,0.041322278911563884
71,-0.053261054421769434
72,-0.033150510204082724
73,0.00020833333333247772
74,-0.11558673469387805
75,-0.16910289115646296
76,-0.2573809523809529
77,-0.10157312925170141
78,-0.053894557823129983
79,-0.16976190476190664
80,-0.04761904761904846
81,-0.2957993197278917
82,-0.25246173469387795
83,-0.21676445578231332
84,-0.22247874149659955
85,-0.3463010204081646
86,-0.30440476190476307
87,-0.28456207482993306
88,-0.23943027210884577
89,-0.19165816326530896
90,-0.2988945578231312
91,-0.1946896258503415
92,-0.11524659863945629
93,-0.25135629251700803
94,-0.13509778911564704
95,-0.2982950680272128
96,-0.13531037414966213
97,-0.14680272108843734
98,-0.16823129251700716
99,-0.2649489795918384
100,-0.1704251700680282
101,-0.10810374149659989
102,-0.19462159863945777
103,-0.2635501700680295
104,-0.16284863945578412
105,-0.25095238095238287
106,-0.14142431972789257
107,-0.2175382653061241
108,-0.2086989795918379
109,-0.25003826530612433
110,-0.22606292517007018
111,-0.12587159863945754
112,-0.10730442176870876
113,-0.1946173469387775
114,-0.0946045918367375
115,-0.1961819727891183
116,-0.23777210884354025
117,-0.08696003401360557
118,-0.19011904761904766
119,-0.2304081632653073
120,-0.1756547619047624
121,-0.3528613945578236
122,-0.21186649659863996
123,-0.10697704081632844
124,-0.2577423469387767
125,-0.1217942176870752
126,-0.18208333333333346
127,-0.27804846938775524
128,0.02222363945578195
129,-0.21728741496598675
130,-0.12789115646258525
131,-0.21600340136054458
132,-0.12897959183673494
133,-0.047172619047619054
134,-0.1879761904761905
135,0.0008333333333333334
136,-0.1882142857142857
137,-0.1427083333333333
138,-0.117117346938776
139,-0.14781462585034189
140,-0.0595705782312931
141,-0.11978741496598677
142,-0.22730442176870763
143,-0.32342261904761915
144,-0.2286564625850341
145,-0.18267857142857152
146,-0.05805272108843599
147,-0.11511904761904812
148,-0.0667346938775515
149,-0.11968112244897997
150,-0.12181972789115683
151,-0.25638180272108896
152,-0.11552721088435423
153,-0.15531462585034075
154,-0.15619047619047718
155,-0.2725595238095247
156,-0.2290008503401368
157,-0.3321896258503401
158,-0.19038690476190476
159,-0.1816794217687076
160,-0.13782738095238095
161,-0.1818792517006804
