Iteration,Average_Reward
1,0.01044642857142857
2,0.006369047619047619
3,0.002589285714285714
4,0.0014583333333333334
5,0.0015178571428571426
6,0.0010714285714285715
7,0.003511904761904762
8,0.00044642857142857147
9,0.0002976190476190476
10,0.0024404761904761904
11,0.005029761904761905
12,0.001488095238095238
13,0.001369047619047619
14,0.00047619047619047614
15,0.0016071428571428571
16,0.0019940476190476192
17,0.0008928571428571428
18,0.0008928571428571429
19,0.0010714285714285715
20,0.0019345238095238096
21,0.0012797619047619046
22,2.9761904761904765e-05
23,0.00026785714285714287
24,0.0016071428571428571
25,0.0013095238095238095
26,0.0008928571428571428
27,0.0005357142857142857
28,0.0019940476190476192
29,0.001101190476190476
30,0.0007440476190476191
31,0.000625
32,0.0011011904761904763
33,0.0010714285714285715
34,0.0026190476190476194
35,0.000863095238095238
36,0.0016666666666666666
37,0.0011607142857142858
38,0.0015178571428571426
39,0.0010416666666666667
40,0.002351190476190476
41,0.0006845238095238095
42,0.0023809523809523807
43,0.00505952380952381
44,0.0009523809523809523
45,0.001369047619047619
46,0.0008928571428571428
47,0.001726190476190476
48,0.0012797619047619049
49,0.0007440476190476191
50,0.001994047619047619
51,0.006130952380952381
52,0.002053571428571429
53,0.003601190476190476
54,0.0022619047619047614
55,0.0015773809523809523
56,0.004910714285714285
57,0.003571428571428572
58,0.009166666666666668
59,0.006160714285714286
60,0.0010119047619047618
61,0.0013988095238095237
62,0.0019345238095238098
63,0.002738095238095238
64,0.00041666666666666664
65,0.0006547619047619047
66,0.0008035714285714286
67,0.0013392857142857145
68,0.0007738095238095238
69,0.003988095238095238
70,0.0025892857142857145
71,0.0012202380952380952
72,0.002142857142857143
73,0.0037500000000000003
74,0.0005654761904761904
75,0.0009226190476190477
76,0.001011904761904762
77,0.002886904761904762
78,0.001517857142857143
79,0.00032738095238095237
80,0.002440476190476191
81,0.002023809523809524
82,0.0008333333333333334
83,0.0012499999999999998
84,0.0005357142857142857
85,0.001994047619047619
86,0.0034523809523809533
87,0.0007738095238095238
88,0.0011309523809523807
89,0.0009226190476190477
90,0.00026785714285714287
91,0.0004166666666666667
92,0.002202380952380952
93,0.0
94,0.00011904761904761906
95,0.00035714285714285714
96,0.0012499999999999998
97,0.0001488095238095238
98,0.0012797619047619049
99,0.00026785714285714287
100,0.0006547619047619047
101,0.0024702380952380952
102,0.0005654761904761906
103,0.0023214285714285715
104,0.002202380952380952
105,0.002023809523809524
106,0.001904761904761905
107,0.0018452380952380949
108,0.002410714285714286
109,0.00047619047619047614
110,0.0016071428571428571
111,0.004226190476190476
112,0.0006249999999999999
113,0.0005357142857142857
114,0.0008928571428571429
115,0.001369047619047619
116,0.00035714285714285714
117,0.0005952380952380951
118,0.0008630952380952381
119,0.0006547619047619047
120,0.0003869047619047619
121,0.0009523809523809525
122,0.0010714285714285715
123,0.00023809523809523812
124,0.0008928571428571429
125,0.0006845238095238095
126,0.0006249999999999999
127,0.0008333333333333334
128,0.0008035714285714287
129,0.0008333333333333334
130,0.0005654761904761906
131,0.0009523809523809525
132,0.0005952380952380952
133,0.0008333333333333334
134,0.0009821428571428572
135,0.0010714285714285715
136,0.0009226190476190477
137,0.0013095238095238093
138,0.0003869047619047619
139,0.0005059523809523809
140,0.00035714285714285714
141,0.0003571428571428571
142,0.0006845238095238095
143,0.0020238095238095236
144,0.0012797619047619046
145,0.00017857142857142857
146,0.00026785714285714287
