Iteration,Agent_ID,Average_Reward
1,0,-2.2648437499999465
1,1,-1.2886666666666406
1,2,-1.483854166666654
1,3,-2.939281250000002
1,4,-1.5742916666666567
1,5,-2.215489583333332
1,6,-2.1012708333333254
1,7,-2.808614583333315
1,8,-2.102958333333275
2,0,-2.0829687499999774
2,1,-2.099999999999942
2,2,-2.2159999999999664
2,3,-2.1886250000000063
2,4,-2.301499999999986
2,5,-2.12304166666665
2,6,-2.099999999999942
2,7,-2.066822916666628
2,8,-2.099999999999942
3,0,-2.099999999999942
3,1,-2.099374999999942
3,2,-2.099999999999942
3,3,-2.2005104166666483
3,4,-2.099999999999942
3,5,-2.099999999999942
3,6,-2.100114583333275
3,7,-3.058583333333383
3,8,-2.1002291666666086
4,0,-2.099999999999942
4,1,-2.099999999999942
4,2,-2.099999999999942
4,3,-2.177552083333287
4,4,-2.099999999999942
4,5,-2.100520833333275
4,6,-2.216562499999938
4,7,-2.211687499999963
4,8,-2.099999999999942
5,0,-2.0835937499999777
5,1,-2.099999999999942
5,2,-2.099999999999942
5,3,-2.303177083333279
5,4,-2.216562499999938
5,5,-2.1006979166666087
5,6,-2.099999999999942
5,7,-2.2163124999999377
5,8,-2.083666666666644
6,0,-2.099999999999942
6,1,-2.099999999999942
6,2,-2.099999999999942
6,3,-2.2164062499999377
6,4,-2.216562499999938
6,5,-2.099999999999942
6,6,-2.2996041666666014
6,7,-2.099999999999942
6,8,-2.099999999999942
7,0,-2.0836770833333107
7,1,-2.099999999999942
7,2,-2.099999999999942
7,3,-2.099999999999942
7,4,-2.2334374999999613
7,5,-2.100052083333275
7,6,-2.4330416666666204
7,7,-2.099999999999942
7,8,-2.083666666666644
8,0,-2.099999999999942
8,1,-2.099999999999942
8,2,-2.099999999999942
8,3,-2.214624999999938
8,4,-2.099999999999942
8,5,-2.163749999999951
8,6,-2.2664583333332753
8,7,-2.199812499999982
8,8,-2.099999999999942
9,0,-2.099999999999942
9,1,-2.099999999999942
9,2,-2.099999999999942
9,3,-2.099999999999942
9,4,-2.099999999999942
9,5,-2.227802083333293
9,6,-2.216562499999938
9,7,-2.099999999999942
9,8,-2.099999999999942
10,0,-2.0835937499999777
10,1,-2.099999999999942
10,2,-2.099999999999942
10,3,-2.216843749999938
10,4,-2.3999166666666416
10,5,-2.100052083333275
10,6,-2.099999999999942
10,7,-2.3328749999999894
10,8,-2.0835937499999773
11,0,-2.099999999999942
11,1,-2.099999999999942
11,2,-2.0997916666666083
11,3,-2.12199999999994
11,4,-2.100114583333275
11,5,-2.124937499999944
11,6,-2.099999999999942
11,7,-2.199812499999982
11,8,-2.099999999999942
12,0,-2.066812499999961
12,1,-2.099999999999942
12,2,-2.099583333333275
12,3,-2.099999999999942
12,4,-2.099999999999942
12,5,-2.136895833333297
12,6,-2.3668749999999807
12,7,-2.199812499999982
12,8,-2.094249999999974
13,0,-2.200270833333313
13,1,-2.099999999999942
13,2,-2.099999999999942
13,3,-2.099999999999942
13,4,-2.099999999999942
13,5,-2.100312499999942
13,6,-2.2998541666666013
13,7,-2.580302083333329
13,8,-2.099999999999942
14,0,-2.099999999999942
14,1,-2.099999999999942
14,2,-2.0997916666666083
14,3,-2.332843749999934
14,4,-2.1154374999999535
14,5,-2.111822916666632
14,6,-2.099999999999942
14,7,-2.099999999999942
14,8,-2.099999999999942
15,0,-2.249760416666653
15,1,-2.099999999999942
15,2,-2.099999999999942
15,3,-2.099999999999942
15,4,-2.099999999999942
15,5,-2.1001041666666085
15,6,-2.183416666666607
15,7,-2.099999999999942
15,8,-2.099999999999942
16,0,-2.133614583333329
16,1,-2.099999999999942
16,2,-2.099583333333275
16,3,-2.099999999999942
16,4,-2.099999999999942
16,5,-2.100114583333275
16,6,-2.099999999999942
16,7,-2.099999999999942
16,8,-2.099999999999942
17,0,-2.249760416666653
17,1,-2.099999999999942
17,2,-2.099999999999942
17,3,-2.099999999999942
17,4,-2.13080208333327
17,5,-2.099999999999942
17,6,-2.1834166666666075
17,7,-2.216458333333271
17,8,-2.099999999999942
18,0,-2.1169583333333146
18,1,-2.099999999999942
18,2,-2.099583333333275
18,3,-2.099999999999942
18,4,-2.1412604166666296
18,5,-2.099999999999942
18,6,-2.066854166666628
18,7,-2.099999999999942
18,8,-2.099999999999942
19,0,-2.066812499999961
19,1,-2.099999999999942
19,2,-2.098958333333275
19,3,-2.099999999999942
19,4,-2.1196874999999427
19,5,-2.194635416666601
19,6,-2.183416666666607
19,7,-2.099999999999942
