Iteration,Average_Reward
1,-2.086585648148128
2,-2.142106481481449
3,-2.2176458333332913
4,-2.1340358796295744
5,-2.1448900462962457
6,-2.1480636574073473
7,-2.1482083333332866
8,-2.1494050925925396
9,-2.127151620370314
10,-2.1685416666666253
11,-2.1162951388888356
12,-2.1404699074073665
13,-2.186748842592544
14,-2.1288773148147597
15,-2.1259201388888354
16,-2.1037013888888367
17,-2.142270833333279
18,-2.1027395833332836
19,-2.1181678240740167
20,-2.1074895833332814
21,-2.1337754629629107
22,-2.1175509259258702
23,-2.1480381944444056
24,-2.167537037036981
25,-2.1221087962962373
26,-2.1733124999999442
27,-2.203681712962922
28,-2.1855243055555054
29,-2.188328703703648
30,-2.1759444444443954
31,-2.0684641203703316
32,-2.159799768518482
33,-2.157967592592542
34,-2.153685185185134
35,-2.117620370370323
36,-2.158027777777731
37,-2.1576979166666184
38,-2.1471562499999512
39,-2.166817129629587
40,-2.1417997685184655
41,-2.110990740740695
42,-2.1066863425925444
43,-2.143165509259205
44,-2.1628668981480974
45,-2.214954861111062
46,-2.139177083333278
47,-2.1458159722221697
48,-2.1379814814814395
49,-2.159692129629579
50,-2.159629629629586
51,-2.108608796296241
52,-2.112869212962912
53,-2.1129490740740193
54,-2.1518819444443964
55,-2.1451863425925506
56,-2.1171759259258764
57,-2.171924768518461
58,-2.1382800925925425
59,-2.1462037037036468
60,-2.13880208333329
61,-2.138302083333273
62,-2.1750613425925365
63,-2.175260416666614
64,-2.1685601851851346
65,-2.1290370370369867
66,-2.180722222222171
67,-2.1301805555555005
68,-2.1503472222221833
69,-2.143217592592541
70,-2.1545844907406893
71,-2.173315972222175
72,-2.1730497685184726
73,-2.131365740740688
74,-2.1578969907406926
75,-2.127018518518466
76,-2.214425925925873
77,-2.1600868055555065
78,-2.171469907407362
79,-2.1955405092592155
80,-2.1443900462962495
81,-2.1718171296295736
82,-2.1837662037036703
83,-2.1479490740740226
84,-2.1523854166666117
85,-2.125384259259208
86,-2.1659502314814336
87,-2.1554942129629158
88,-2.1533738425925426
89,-2.149399305555505
90,-2.1805057870369833
91,-2.125454861111068
92,-2.193497685185158
93,-2.1000127314814234
94,-2.1229745370369866
95,-2.125634259259209
96,-2.14931481481476
97,-2.1793877314814405
98,-2.1746331018518017
99,-2.116533564814766
100,-2.1985324074073644
101,-2.1812847222221756
102,-2.1565972222221754
103,-2.177354166666615
104,-2.1469166666666135
105,-2.144204861111058
106,-2.1568182870369896
107,-2.1910787037036603
108,-2.1622881944443977
109,-2.1339166666666176
110,-2.2661018518518072
111,-2.1925810185184758
112,-2.172879629629577
113,-2.147461805555511
114,-2.1441828703703125
115,-2.1905243055555177
116,-2.2263449074073574
117,-2.1466087962962366
118,-2.1297187499999506
119,-2.1985567129629167
120,-2.2235405092592075
121,-2.1192453703703125
122,-2.194403935185134
123,-2.170021990740689
124,-2.1333113425925365
125,-2.232499999999952
126,-2.117633101851796
127,-2.1228055555555003
128,-2.1776631944443947
129,-2.1755115740740236
130,-2.19838657407402
131,-2.1472951388888295
132,-2.182303240740686
133,-2.151535879629579
134,-2.239248842592545
135,-2.259767361111064
136,-2.1825347222221776
137,-2.1388506944443915
138,-2.111371527777719
139,-2.1595833333332823
140,-2.123377314814765
141,-2.2347928240740305
142,-2.193124999999951
143,-2.1645706018518016
144,-2.1742523148147637
145,-2.191714120370319
146,-2.1676631944443923
147,-2.2016597222221765
148,-2.182208333333287
149,-2.1574085648147676
150,-2.133155092592538
151,-2.1116493055555043
152,-2.187166666666611
153,-2.2233993055555135
154,-2.1684097222221697
155,-2.154332175925871
156,-2.202906249999948
157,-2.154626157407363
158,-2.1630763888888285
159,-2.1907534722221764
160,-2.1314560185184614
161,-2.258489583333285
162,-2.1223402777777336
163,-2.1423136574073545
164,-2.239898148148103
165,-2.129615740740694
166,-2.1443912037036448
167,-2.1549907407406863
168,-2.2600416666666185
169,-2.279215277777726
170,-2.189914351851803
171,-2.166478009259217
172,-2.0421574074073634
173,-2.146458333333281
174,-2.168305555555507
175,-2.1995543981481065
176,-2.239063657407366
177,-2.1802152777777297
178,-2.130728009259208
179,-2.1574895833332812
180,-2.2535023148147677
181,-2.0980613425925387
182,-2.2580752314814445
183,-2.1643842592592226
184,-2.1694016203703153
185,-2.1430104166666246
186,-2.2080740740740277
187,-2.206498842592544
188,-2.1533773148147675
189,-2.2479537037036734
190,-2.235011574074032
191,-2.1744687499999444
192,-2.171035879629584
193,-2.1879456018517955
194,-2.2056747685184717
195,-2.252015046296252
