Iteration,Custom Metrics
14,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
1,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
15,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
2,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
16,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
3,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
17,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
4,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
18,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
5,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
19,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
6,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
20,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
7,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
21,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
8,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
22,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
9,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
23,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
10,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
24,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
11,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
25,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
12,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
26,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
13,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
27,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
14,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
28,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
15,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
29,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
16,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
30,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
17,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
31,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
18,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
32,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
19,"{'agent-0': {'num_collected': 0, 'time_waited': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600}, 'agent-2': {'num_collected': 0, 'time_waited': 1600}, 'agent-3': {'num_collected': 0, 'time_waited': 1600}, 'agent-4': {'num_collected': 0, 'time_waited': 1600}}"
