Iteration,Agent_ID,Average_Reward
1,0,0.00014583333333333332
1,1,0.02608333333333279
1,2,0.0
1,3,0.008125000000000058
1,4,0.022041666666666307
2,0,0.09989583333333034
2,1,0.099999999999997
2,2,0.0
2,3,0.0
2,4,0.099999999999997
3,0,0.099999999999997
3,1,0.099999999999997
3,2,0.0
3,3,0.03329166666666567
3,4,0.099999999999997
4,0,0.099999999999997
4,1,0.099999999999997
4,2,0.0
4,3,0.0
4,4,0.099999999999997
5,0,0.099999999999997
5,1,0.099999999999997
5,2,0.0
5,3,0.0
5,4,0.099999999999997
